Country_Code,Status,Value
AFG,Developing,1
ALB,Developing,1
DZA,Developing,1
ASM,Developing,1
AND,Developed,3
AGO,Developing,1
ATG,Developed,3
ARG,Developing,1
ARM,Developing,1
ABW,Developed,3
AUS,Developed,3
AUT,Developed,3
AZE,Developing,1
BHS,Developed,3
BHR,Developed,3
BGD,Developing,1
BRB,Developed,3
BLR,Developing,1
BEL,Developed,3
BLZ,Developing,1
BEN,Developing,1
BMU,Developed,3
BTN,Developing,1
BOL,Developing,1
BIH,Developing,1
BWA,Developing,1
BRA,Developing,1
VGB,Developed,3
BRN,Developed,3
BGR,Developing,1
BFA,Developing,1
BDI,Developing,1
CPV,Developing,1
KHM,Developing,1
CMR,Developing,1
CAN,Developed,3
CYM,Developed,3
CAF,Developing,1
TCD,Developing,1
CHI,Developed,3
CHN,Developing,1
COL,Developing,1
COM,Developing,1
COD,Developing,1
COG,Developing,1
CRI,Developing,1
CIV,Developing,1
HRV,Developing,1
CUB,Developing,1
CUW,Developed,3
CYP,Developed,3
CZE,Developed,3
DNK,Developed,3
DJI,Developing,1
DMA,Developing,1
DOM,Developing,1
ECU,Developing,1
EGY,Developing,1
SLV,Developing,1
GNQ,Developing,1
ERI,Developing,1
EST,Developed,3
ETH,Developing,1
FRO,Developed,3
FJI,Developing,1
FIN,Developed,3
FRA,Developed,3
PYF,Developed,3
GAB,Developing,1
GMB,Developing,1
GEO,Developing,1
DEU,Developed,3
GHA,Developing,1
GIB,Developed,3
GRC,Developed,3
GRL,Developed,3
GRD,Developing,1
GUM,Developed,3
GTM,Developing,1
GIN,Developing,1
GNB,Developing,1
GUY,Developing,1
HTI,Developing,1
HND,Developing,1
HKG,Developed,3
HUN,Developed,3
ISL,Developed,3
IND,Developing,1
IDN,Developing,1
IRN,Developing,1
IRQ,Developing,1
IRL,Developed,3
IMN,Developed,3
ISR,Developed,3
ITA,Developed,3
JAM,Developing,1
JPN,Developed,3
JOR,Developing,1
KAZ,Developing,1
KEN,Developing,1
KIR,Developing,1
PRK,Developing,1
KOR,Developed,3
XKX,Developing,1
KWT,Developed,3
KGZ,Developing,1
LAO,Developing,1
LBN,Developing,1
LSO,Developing,1
LBR,Developing,1
LBY,Developing,1
LIE,Developed,3
LUX,Developed,3
MAC,Developed,3
MKD,Developing,1
MDG,Developing,1
MWI,Developing,1
MYS,Developing,1
MDV,Developing,1
MLI,Developing,1
MLT,Developed,3
MHL,Developing,1
MRT,Developing,1
MUS,Developing,1
MEX,Developing,1
FSM,Developing,1
MDA,Developing,1
MCO,Developed,3
MNG,Developing,1
MNE,Developing,1
MAR,Developing,1
MOZ,Developing,1
MMR,Developing,1
NAM,Developing,1
NRU,Developing,1
NPL,Developing,1
NLD,Developed,3
NCL,Developed,3
NZL,Developed,3
NIC,Developing,1
NER,Developing,1
NGA,Developing,1
MNP,Developed,3
NOR,Developed,3
OMN,Developed,3
PAK,Developing,1
PAN,Developing,1
PNG,Developing,1
PRY,Developing,1
PER,Developing,1
PHL,Developing,1
PRT,Developed,3
PRI,Developed,3
QAT,Developed,3
ROU,Developing,1
RUS,Developing,1
RWA,Developing,1
WSM,Developing,1
SMR,Developed,3
STP,Developing,1
SAU,Developed,3
SEN,Developing,1
SRB,Developing,1
SLE,Developing,1
SGP,Developed,3
SXM,Developed,3
SVK,Developed,3
SVN,Developed,3
SLB,Developing,1
SOM,Developing,1
ZAF,Developing,1
SSD,Developing,1
ESP,Developed,3
LKA,Developing,1
LCA,Developing,1
MAF,Developed,3
VCT,Developing,1
SDN,Developing,1
SUR,Developing,1
SWZ,Developing,1
SWE,Developed,3
CHE,Developed,3
SYR,Developing,1
TWN,Developed,3
TJK,Developing,1
TZA,Developing,1
THA,Developing,1
TLS,Developing,1
TGO,Developing,1
TON,Developing,1
TTO,Developed,3
TUN,Developing,1
TUR,Developing,1
TKM,Developing,1
TCA,Developed,3
TUV,Developing,1
UGA,Developing,1
UKR,Developing,1
ARE,Developed,3
GBR,Developed,3
USA,Developed,3
UZB,Developing,1
VUT,Developing,1
VEN,Developing,1
VNM,Developing,1
VIR,Developed,3
PSE,Developing,1
YEM,Developing,1
ZMB,Developing,1
ZWE,Developing,1
CHL,Transitioned,2
LVA,Transitioned,2
LTU,Transitioned,2
PLW,Transitioned,2
POL,Transitioned,2
SYC,Transitioned,2
KNA,Transitioned,2
URY,Transitioned,2
